T_64,T_47,T_64_err,T47_err
eV,eV,eV,eV
117.9,100.2,11.7,11.6
229.8,236.2,17.5,27.6
327.1,305.9,20.6,22.3
229.8,208.9,16,19.7
259.8,195.2,20.1,17.8
104.2,94.8,10.3,12.3
319.6,297.4,25.7,27.2
370.1,380.4,31.2,30.3
208.9,208.9,14.5,20.6
214.7,189.9,14.6,18.3
86.1,68.4,8,7.2
240.1,203.1,15.5,23.6
370.1,380.4,21.9,24.1
270.4,252.8,19.3,19.8
