T_64,T_47,T_64_err,T47_err
eV,eV,eV,eV
64.7,75.3,10.3,9.1
172.7,129.7,17.2,15.6
184.7,219.5,11.5,20.6
157,152.6,13,16.3
107.2,114.7,8.9,10
75.3,63.2,13.7,8.9
195.2,189.9,19.2,21
189.9,180.4,14.4,16
161.3,177.4,10.4,16.3
138.7,142.7,8.7,12.9
56.5,46.7,10.1,7.2
136.3,135.5,9.9,13.2
208.9,214.7,14.4,18.9
152.6,172.7,9.2,13.8
