T_64,T_47,T_64_err,T47_err
eV,eV,eV,eV
189.9,199.5,15.4,30.9
655.7,673.8,32.7,45.7
721.2,701.2,34.4,47.1
596,579.5,35.3,41.6
478.9,447.8,34.7,37.3
104.2,56.5,18.4,11.3
514.7,492.6,23.6,27.9
757.7,771.3,36.1,45.1
673.8,637.5,38.7,47.8
701.2,753.6,48.8,58.4
252.8,180.4,14.2,18.1
569.3,556.9,21.3,28.6
828.9,848.5,32.8,54.5
556.9,579.5,27,38
