T_64,T_47,T_64_err,T47_err
eV,eV,eV,eV
245.8,270.4,23.2,38.2
526.8,526.8,28.2,38.8
701.2,655.7,33.6,38.5
655.7,612.6,41.5,46.2
478.9,526.8,32.1,39
--,41.3,--,6
492.6,478.9,23.9,28.2
815.3,771.3,36.7,44.2
685.1,596,39.3,40.7
622.8,637.5,37,47.3
214.7,241.4,12.6,29.4
492.6,514.7,21.3,30
872.7,872.7,34.9,48.5
622.8,596,27.7,35.6
