T_64,T_47,T_64_err,T47_err
eV,,eV,eV
31.1,29.7,43.8,10.1
100.2,91.1,14.3,14.4
110.2,107.2,11.4,13.8
86.1,69.9,10.6,8.1
64.7,38.6,9.7,5.5
46.7,47.5,26.5,10.2
133.3,121.2,16.9,19.4
102.4,126.1,13.9,21.4
112,86.1,10.5,9.4
64.7,66.6,9.9,8.4
35.1,33.2,24,7.6
60.5,58.8,11,8.1
133.3,123.2,13.6,16.3
93.1,104.2,9.8,13.6
579.5,581.2,12.1,18.3
