T_64,T_47,T_64_err,T47_err
eV,eV,eV,eV
--,31.1,--,8.6
63.2,60.5,12.9,8.9
55,41.3,11.8,6.4
53.5,44.2,12.8,6.3
--,21.8,--,5.1
50,62.2,25.7,16.4
107.2,82.8,15.8,11.1
68.4,60.5,11.8,8.4
73.2,64.7,13,9.4
50,55,12.8,7.1
41.3,27,18.9,7.5
--,35.9,--,6.4
94.8,86.1,13.2,12.6
75.3,66.6,8.7,6.8
