T_64,T_47,T_64_err,T47_err
eV,eV,eV,eV
189.9,219.5,17.6,36
359.8,380.4,25,33.1
506.3,517.5,25.1,33.2
407.1,418.4,31,33.7
418.4,492.6,25.8,32.8
56.5,76.5,9,8.4
425.4,447.8,29.6,36
556.9,526.8,32.1,32.8
435.4,470.5,26,27.7
447.8,407.1,29,28.3
142.7,142.7,10.7,20.4
359.8,345.8,19.5,22.5
612.6,612.6,29.8,36.9
526.8,541.9,32.9,38
