T_64,T_47,T_64_err,T47_err
eV,eV,eV,eV
223.4,189.9,23.1,32.2
673.8,721.2,26.1,45
701.2,771.3,31.6,51.6
569.3,637.5,33.4,51.4
506.3,478.9,36.3,45
184.7,138.7,32.8,37.6
492.6,470.5,28.8,38.3
848.5,741.2,40.6,39.3
701.2,626.2,37.6,44
757.7,741.2,55.2,59.8
195.2,208.9,8.2,19
579.5,612.6,20,33.3
933.3,933.3,43,66.5
612.6,526.8,30.6,40.1
